_type,_id,_revision,_base,_page.next,savivaldybe._id,aob_kodas._id,gyvenamoji_vietove._id,gatve._id,nr,korpuso_nr,pasto_kodas,aob_nuo
datasets/gov/rc/ar/pastatas/Pastatas,00668692-37b6-4eed-bd14-5ba61771afd5,120c4bf6-944d-4673-a2fb-eb07e1e0dc4b,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,f915947a-b6a5-4292-b25c-8de48bdeed81,ac1ecdcc-db18-4c46-8b55-d2052fe6c45c,e9257761-a63c-4134-8370-cffef4f11992,7,,LT-64484,2017-01-13
datasets/gov/rc/ar/pastatas/Pastatas,006a9966-1ffe-415a-b2b4-6d8c8de46059,44d2137d-726a-4f65-b7f2-f87c9142f4b1,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,4fce9f27-3657-41d7-b74d-c7ad2b93ce63,cd2eeb86-5c7a-4023-9014-d8ad106db1d7,,4,,LT-64195,2011-08-24
datasets/gov/rc/ar/pastatas/Pastatas,006ade88-d2f2-469e-a18a-65895b42382a,f5f9b441-6e8f-4287-bb2f-b7054ea2d390,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,4a7eb497-b74a-4da9-96ac-3c5abff5c47b,226a5331-0b70-46c8-8c7b-255f9745f652,ed4419f0-110f-4844-b12b-f9256115cd4d,11,,LT-62191,2013-02-22
datasets/gov/rc/ar/pastatas/Pastatas,00700c55-080e-4787-a955-a54cbc882787,fb0a4802-62d8-4583-8d2d-0160e9cdaf9d,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,91eef26c-2d2e-4f73-ad64-4f521025c141,4d67505b-ad73-467f-bbb4-bce410b8008f,8acc8963-bd6c-419b-9926-a24c793e14a2,3,,LT-64131,2015-06-30
datasets/gov/rc/ar/pastatas/Pastatas,00702c6f-6e27-485a-8b65-8a166d2c3738,086109b8-1a4f-40c0-9528-19f6ebe45582,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,0fab73b9-18ad-48d8-9e39-7bd15d03e57f,c8d91090-f17f-40eb-979c-9386e71f3a89,459ae43d-073d-45d3-9b09-31d9dbf8c0f0,18,,LT-64195,2011-02-03
datasets/gov/rc/ar/pastatas/Pastatas,007171c7-1f61-468a-82f8-1e21e76e2911,25149b50-b621-4e81-a1fe-fe675cc63055,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,2107850e-eb03-4f67-a5d3-f6786bcc7ba0,62c7bb22-1d68-4eb5-9299-9271b69f0211,,13,,LT-64481,2012-12-28
datasets/gov/rc/ar/pastatas/Pastatas,007412f9-cfad-4b36-b922-cbb0c10e914a,efe3a775-dddd-44c3-8cf3-3ace2d93942c,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,79325679-a1a0-41da-876a-038a1db386ab,4c81a2e0-be4d-403a-9c3d-7cd06716b5d0,0281a2ca-0b70-4b62-a626-5be6a84fbb0d,12C,,LT-64382,2017-03-14
datasets/gov/rc/ar/pastatas/Pastatas,0076a3e0-7e31-4315-846e-147dac739f49,6534516b-d622-4f14-875c-58be3d8f74b9,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,4dc3a05b-00c1-4da0-9cde-7cbae6a652bb,441ee2b6-0e20-4758-8383-df80bd401332,48574762-7e88-4d9b-a4ec-f433a8eb26f0,13,,LT-64206,2012-05-30
datasets/gov/rc/ar/pastatas/Pastatas,0077911d-d6da-468c-b74d-2a2e49291e15,10bb2984-488e-408a-9c80-ab05489588c9,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,218f212c-7ddd-403b-a160-41973b94273a,100d00bf-aab2-40cd-ba2b-e9e8259ebb82,173578cd-13dd-4e44-9825-7a9c92bccf3d,7,,LT-64117,2012-12-28
datasets/gov/rc/ar/pastatas/Pastatas,00786264-7eb4-4d2a-9bf0-8c076be7cb5a,2a8b53c9-4a56-41fb-83c3-ae5cf908bebe,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,867832c4-33e2-45ba-9eef-539efa5ab29b,31e20717-c193-4ab7-840f-56c0912ce328,2d4c2ae4-b64f-4d92-ba79-26df5606492c,6,,LT-64144,2011-07-20
datasets/gov/rc/ar/pastatas/Pastatas,007d4f51-74b9-4f5b-bdd4-6ef7a20eaaff,cdd5ebe4-f6ec-42c1-a899-71c9bee5b048,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,affdaba4-0bb5-4b7f-a287-ea6d36dee7f0,73d7183b-136d-4961-b7ea-775f654670a2,11d4cfef-af03-4a06-b1dd-6a8b6d3c74ed,69A,,LT-64101,2023-10-09
datasets/gov/rc/ar/pastatas/Pastatas,007fcdbb-5607-4b21-9da5-dd16d6e45cc0,cfda740d-4295-497a-be89-72419acb9a83,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,c7039906-7030-4e3e-a2d8-835dbedf7911,c48dc01c-60ff-409c-a817-efc902e6a9ca,93c33a38-c82f-474a-a694-ee57dea21a29,64,,LT-64110,2010-12-23
datasets/gov/rc/ar/pastatas/Pastatas,00804266-fa99-4673-b55b-122275e7f341,7db703d6-e67c-4cae-ac4b-f1c0e3651cb3,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,ed1ece3f-27f4-46f8-8987-89bbeb02aafb,4c81a2e0-be4d-403a-9c3d-7cd06716b5d0,2ca47f91-69a3-489f-9a4b-65ae0e5edf62,3,,LT-64381,2005-09-13
datasets/gov/rc/ar/pastatas/Pastatas,00843056-690e-4284-8fec-c3b765821928,93ddc273-8042-4ae5-b83e-52ea2e89f1a5,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,33c00f0a-4037-4d0c-8902-59ef1c42dbaf,8246210d-10e3-44ed-b8a7-7373eac55be0,081098ae-4cca-404e-83da-5c2cd990bfd2,15,,LT-64264,2013-09-18
datasets/gov/rc/ar/pastatas/Pastatas,00859345-a6c4-4800-986d-f2b9f1f610c5,cd0504a5-f37a-4d2f-bdaa-5d9bd442e97d,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,df82fd10-284c-4430-ac1e-fef75e0bce42,f7f08e21-02a4-4b94-82dc-c4e2baa288da,eb02e07a-069b-4b16-abd0-ec3c86767bf2,10,,LT-64373,2013-01-15
datasets/gov/rc/ar/pastatas/Pastatas,0088d7e2-9e09-43c9-a541-ee487864914c,c3c490ba-84b6-44c4-9958-f32e1f95db53,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,9406912b-8446-427c-9edc-f1bde2fffca3,7369628c-862a-462d-8be7-2297a55bef8b,18a06ec6-86d5-4cef-9137-c63c1b1d7ce4,15,,LT-64134,2013-02-04
datasets/gov/rc/ar/pastatas/Pastatas,008b0b42-15d3-4155-9207-c7e280f60c97,95fd6b48-b0f6-42ff-9e8c-054f7baf7789,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,b12003ee-cf20-49a3-8495-8113eadb03a5,8e2b3c03-d095-4ad0-a1fb-73ea58661295,81cc3496-36e7-403b-82ed-7082e9d96919,13,,LT-62181,2021-09-09
