dirbt_id,seniunijos_pavad,atr_uzstatytas_plotas,stat_pabaigos_metai,aukstu_skaicius,status,pool,n_candidates,b_OBJECTID,b_TOP_ID,b_Shape_Area,b_seniunija,b_cx,b_cy,log_area_dist
64779233056242516,Kauno m.,29.0,2022.0,1,ambiguous,citywide,20122,61155.0,bae057a1-5e7d-4f8f-b6b2-7c2cf51afab8,28.999892065010798,Šilainių sen.,494649.80932389677,6090974.922940333,3.721903105713409e-06
75514914567484479,Žaliakalnio sen.,188.0,1970.0,2,ambiguous,district,3599,31296.0,C5D58AB4-9BDB-494D-9460-C0D333AE398A,187.96485000530126,Žaliakalnio sen.,493838.9528877827,6085477.755201963,0.00018698553761442582
74279301885211729,Kauno m.,20.0,1975.0,1,ambiguous,citywide,15162,42659.0,62E3BCEC-CF1A-411E-BD41-7C2CD1C41A70,20.000999999978582,Aleksoto sen.,493055.17640744965,6080852.427823423,4.9998748970825346e-05
65121947028013216,Eigulių sen.,402.0,2020.0,1,ambiguous,district,699,2396.0,8977F0F9-92FF-4BB7-9C7C-68D5D081C55E,402.28014999412596,Eigulių sen.,497972.76591211814,6087874.108518093,0.000696647817202134
7500520381773039,Kauno m.,8.0,1991.0,1,ambiguous,citywide,3969,3192.0,1E9685FE-87AF-4400-866F-38F9F4075B25,12.001999996529893,Šilainių sen.,492618.23000000004,6090486.250000001,0.40563176059835815
75651018470625733,Petrašiūnų sen.,111.0,1938.0,1,ambiguous,district,3382,34546.0,761751E1-CD1A-4743-A9D6-4B1C635AF904,111.02265900124989,Petrašiūnų sen.,499402.3420938424,6084401.36498924,0.00020411431365197075
65256912734155084,Šilainių sen.,346.0,2008.0,2,ambiguous,district,2719,20450.0,ADF7D9FD-053D-46B2-B659-2226B299E6EC,346.4395504513285,Šilainių sen.,493584.506050599,6090061.68038745,0.0012695707808170198
75246313780707896,Vilijampolės sen.,73.0,1926.0,1,ambiguous,district,4474,38702.0,E183BB4A-27D7-4A96-93D7-B3EB551D951D,73.0109499997573,Vilijampolės sen.,492887.0314102819,6086638.086888145,0.000149988747800478
75680124757889683,Eigulių sen.,124.0,1929.0,1,ambiguous,district,763,5653.0,C40375D4-9361-43AA-A464-E8247B0F338F,123.97985000983215,Eigulių sen.,497168.2341321997,6087650.918024437,0.00016251312525117356
75664568940247562,Žaliakalnio sen.,126.0,1933.0,2,ambiguous,district,4538,3187.0,B298D7C9-0B2A-472C-9ACC-2D4373C04F21,125.94545000528376,Žaliakalnio sen.,495442.71928379824,6086012.008177564,0.0004330302100514771
