dirbt_id,seniunijos_pavad,obje_tipas,pask_tipas,aukstu_skaicius,atr_uzstatytas_plotas,stat_pabaigos_metai,status,n_candidates,n_categorical_pool,best_unikalus_nr,best_b_area,log_area_dist
75602515396222522,Aleksoto sen.,20,110,1,93.0,1961.0,ambiguous,13991,15727,199530008012,92.99989999337811,1.0753405987884435e-06
64715615042736194,Kauno m.,22,222,1,1758.0,2009.0,ambiguous,218,917,199950207037,1756.7440000093393,0.0007147035710826088
7565202340566532,Žaliakalnio sen.,20,120,1,127.0,1937.0,ambiguous,1328,1391,529750306019,126.93355000033024,0.0005233652755727292
74412405999441933,Petrašiūnų sen.,24,266,1,36.0,1972.0,ambiguous,84,97,190010325010,35.69583584221958,0.008484899548931057
75631490509835489,Vilijampolės sen.,22,224,1,38.0,1980.0,ambiguous,54,729,199170029124,37.828723366309674,0.004517468245916145
64781743129334657,Kauno m.,20,110,1,207.0,2023.0,ambiguous,10336,15727,440059168396,207.00038533371128,1.861513781342694e-06
74275631394110281,Kauno m.,28,240,1,26.0,1958.0,ambiguous,946,3176,440053170297,26.02109562525104,0.0008110412190998062
74718483525825413,Kauno m.,28,240,1,38.0,1983.0,ambiguous,1466,3176,440021225961,38.020943912511775,0.0005510037619571584
75509699069350844,Kauno m.,22,220,1,704.0,1974.0,ambiguous,441,1208,199790197014,701.7810178805156,0.0031569411368854716
74469794625320704,Kauno m.,28,240,1,24.0,1992.0,ambiguous,830,3176,199480080075,23.88897094517182,0.00463694464823261
75539295892133457,Žaliakalnio sen.,28,240,1,22.0,1968.0,ambiguous,739,3176,199270002032,22.042988585359026,0.0019521199805661027
74407702920693986,Kauno m.,28,240,1,20.0,1951.0,ambiguous,617,3176,440027549862,20.046249997112902,0.002309830142869007
74315342281558741,Kauno m.,28,240,1,21.0,1979.0,ambiguous,683,3176,199570356022,20.99824999592453,8.333699983475995e-05
74255641191331004,Vilijampolės sen.,28,240,1,16.0,1924.0,ambiguous,406,3176,440052806336,16.03196284859298,0.001995685331706021
75410263539195985,Kauno m.,22,220,1,63.0,1982.0,ambiguous,247,1208,199700368021,63.08512782598426,0.001350323236167128
74320351842667026,Kauno m.,22,220,1,20.0,1962.0,ambiguous,219,1208,198900140012,19.97586087422769,0.0012076852469631305
74453528442070163,Kauno m.,28,240,1,24.0,1964.0,ambiguous,830,3176,199480080075,23.88897094517182,0.00463694464823261
64781192353496886,Kauno m.,28,240,2,138.0,1991.0,ambiguous,94,123,440022718918,138.09836820354053,0.0007125591385612751
74882253248055045,Kauno m.,28,240,1,26.0,1968.0,ambiguous,946,3176,440053170297,26.02109562525104,0.0008110412190998062
64862758341550517,Kauno m.,20,110,1,168.0,2021.0,ambiguous,12841,15727,440001356001,168.00000000324567,1.9319656985317124e-11
74575175603678115,Kauno m.,28,240,1,528.0,1984.0,ambiguous,219,3176,440046538934,524.2887115965483,0.0070537747876553425
7499701868459685,Kauno m.,28,240,1,20.0,1931.0,ambiguous,617,3176,440027549862,20.046249997112902,0.002309830142869007
7476621707133943,Kauno m.,28,240,1,31.0,1973.0,ambiguous,1191,3176,199320440073,30.96873296372617,0.0010091230668045625
74951527550131472,Kauno m.,28,240,1,24.0,1956.0,ambiguous,830,3176,199480080075,23.88897094517182,0.00463694464823261
87378056285696892,Šilainių sen.,20,110,1,224.0,2007.0,ambiguous,9252,15727,199580040017,223.99163250127438,3.7355602736433013e-05
75635696788368748,Aleksoto sen.,20,110,1,324.0,1949.0,ambiguous,4594,15727,440002991977,323.968419378098,9.747580586427773e-05
74285204159249857,Kauno m.,28,240,1,10.0,1937.0,ambiguous,130,3176,440002584574,12.29224999792967,0.20638388933044371
75028607185247065,Kauno m.,28,240,1,27.0,1977.0,ambiguous,995,3176,199300179020,26.94290380843917,0.00211691284124349
74217859784489248,Petrašiūnų sen.,20,110,2,98.0,2001.0,ambiguous,7063,8034,199640027012,98.00959999648352,9.795435010673259e-05
75602998551637782,Žaliakalnio sen.,20,110,2,96.0,1960.0,ambiguous,7040,8034,199920219014,96.00367609777749,3.8291952035862664e-05
74524832832716742,Kauno m.,28,240,1,42.0,1958.0,ambiguous,1562,3176,199100156029,42.02899999731593,0.0006902378576021384
75602840884786332,Žaliakalnio sen.,20,110,1,82.0,1960.0,ambiguous,13015,15727,199350367010,82.02977420216645,0.00036303412155813675
64816686925593864,Kauno m.,20,110,2,43.0,2026.0,ambiguous,2589,8034,440055956130,43.050802384778166,0.001180753445001237
75542830824492146,Šilainių sen.,20,120,2,95.0,1968.0,ambiguous,2276,2464,440024735240,95.02018209824338,0.00021242057655612712
